temperature,thread_id,iteration,model_filename,no_of_robots,no_of_clusters,separation,alignment,cluster,explore,obstacle_avoidance,separation_distance,time_taken,multi_sampling,coverage,occlusion,score
0,0,199062608,,2005407902,212006400,3.78263e-307,3.78263e-307,7.74682e-304,-7.6973e+247,1.15739e-222,-6.79304e+276,6.13921e+185,4.94066e-324,8.47481e-248,6.13921e+185,0
0,0,1,,25,1,1,0.12,0.1,0.4,1,52,0,0,0,0,1
0,1,199062608,,2005407902,212006400,3.78263e-307,3.78263e-307,7.74682e-304,-7.6973e+247,1.15739e-222,-6.79304e+276,6.13921e+185,4.94066e-324,8.47481e-248,6.13921e+185,0
0,1,1,,25,1,1,0.12,0.1,0.4,1,52,0,0,0,0,1
0,2,199062608,,2005407902,212006400,3.78263e-307,3.78263e-307,7.74682e-304,-7.6973e+247,1.15739e-222,-6.79304e+276,6.13921e+185,4.94066e-324,8.47481e-248,6.13921e+185,0
0,2,1,,25,1,1,0.12,0.1,0.4,1,52,0,0,0,0,1
1,0,199062608,,2005407902,212006400,3.78263e-307,3.78263e-307,7.74682e-304,-7.6973e+247,1.15739e-222,-6.79304e+276,6.13921e+185,4.94066e-324,8.47481e-248,6.13921e+185,0
1,0,1,,25,1,1,0.12,0.1,0.4,1,52,0,0,0,0,1
1,1,199062608,,2005407902,212006400,3.78263e-307,3.78263e-307,7.74682e-304,-7.6973e+247,1.15739e-222,-6.79304e+276,6.13921e+185,4.94066e-324,8.47481e-248,6.13921e+185,0
1,1,1,,25,1,1,0.12,0.1,0.4,1,52,0,0,0,0,1
1,2,199062608,,2005407902,212006400,3.78263e-307,3.78263e-307,7.74682e-304,-7.6973e+247,1.15739e-222,-6.79304e+276,6.13921e+185,4.94066e-324,8.47481e-248,6.13921e+185,0
1,2,1,,25,1,1,0.12,0.1,0.4,1,52,0,0,0,0,1
2,0,199062608,,2005407902,212006400,3.78263e-307,3.78263e-307,7.74682e-304,-7.6973e+247,1.15739e-222,-6.79304e+276,6.13921e+185,4.94066e-324,8.47481e-248,6.13921e+185,0
2,0,1,,25,1,1,0.12,0.1,0.4,1,52,0,0,0,0,1
2,1,199062608,,2005407902,212006400,3.78263e-307,3.78263e-307,7.74682e-304,-7.6973e+247,1.15739e-222,-6.79304e+276,6.13921e+185,4.94066e-324,8.47481e-248,6.13921e+185,0
2,1,1,,25,1,1,0.12,0.1,0.4,1,52,0,0,0,0,1
2,2,199062608,,2005407902,212006400,3.78263e-307,3.78263e-307,7.74682e-304,-7.6973e+247,1.15739e-222,-6.79304e+276,6.13921e+185,4.94066e-324,8.47481e-248,6.13921e+185,0
2,2,1,,25,1,1,0.12,0.1,0.4,1,52,0,0,0,0,1
3,0,199062608,,2005407902,212006400,3.78263e-307,3.78263e-307,7.74682e-304,-7.6973e+247,1.15739e-222,-6.79304e+276,6.13921e+185,4.94066e-324,8.47481e-248,6.13921e+185,0
3,0,1,,25,1,1,0.12,0.1,0.4,1,52,0,0,0,0,1
3,1,199062608,,2005407902,212006400,3.78263e-307,3.78263e-307,7.74682e-304,-7.6973e+247,1.15739e-222,-6.79304e+276,6.13921e+185,4.94066e-324,8.47481e-248,6.13921e+185,0
3,1,1,,25,1,1,0.12,0.1,0.4,1,52,0,0,0,0,1
3,2,199062608,,2005407902,212006400,3.78263e-307,3.78263e-307,7.74682e-304,-7.6973e+247,1.15739e-222,-6.79304e+276,6.13921e+185,4.94066e-324,8.47481e-248,6.13921e+185,0
3,2,1,,25,1,1,0.12,0.1,0.4,1,52,0,0,0,0,1
4,0,199062608,,2005407902,212006400,3.78263e-307,3.78263e-307,7.74682e-304,-7.6973e+247,1.15739e-222,-6.79304e+276,6.13921e+185,4.94066e-324,8.47481e-248,6.13921e+185,0
4,0,1,,25,1,1,0.12,0.1,0.4,1,52,0,0,0,0,1
4,1,199062608,,2005407902,212006400,3.78263e-307,3.78263e-307,7.74682e-304,-7.6973e+247,1.15739e-222,-6.79304e+276,6.13921e+185,4.94066e-324,8.47481e-248,6.13921e+185,0
4,1,1,,25,1,1,0.12,0.1,0.4,1,52,0,0,0,0,1
4,2,199062608,,2005407902,212006400,3.78263e-307,3.78263e-307,7.74682e-304,-7.6973e+247,1.15739e-222,-6.79304e+276,6.13921e+185,4.94066e-324,8.47481e-248,6.13921e+185,0
4,2,1,,25,1,1,0.12,0.1,0.4,1,52,0,0,0,0,1
