temperature,thread_id,iteration,model_filename,no_of_robots,no_of_clusters,separation,alignment,cluster,explore,obstacle_avoidance,separation_distance,time_taken,multi_sampling,coverage,occlusion,score
0,0,330137064,,2005407902,239533024,3.00385e-307,3.00385e-307,7.74682e-304,-1.12674e+239,1.0311e-244,-3.87473e+276,1.47181e+187,4.94066e-324,6.89399e-240,1.47181e+187,0
0,0,1,,25,1,10,0.03,10,1,1,52,0,0,0,0,1
0,1,330137064,,2005407902,239533024,3.00385e-307,3.00385e-307,7.74682e-304,-1.12674e+239,1.0311e-244,-3.87473e+276,1.47181e+187,4.94066e-324,6.89399e-240,1.47181e+187,0
0,1,1,,25,1,10,0.03,10,1,1,52,0,0,0,0,1
0,2,330137064,,2005407902,239533024,3.00385e-307,3.00385e-307,7.74682e-304,-1.12674e+239,1.0311e-244,-3.87473e+276,1.47181e+187,4.94066e-324,6.89399e-240,1.47181e+187,0
0,2,1,,25,1,10,0.03,10,1,1,52,0,0,0,0,1
1,0,330137064,,2005407902,239533024,3.00385e-307,3.00385e-307,7.74682e-304,-1.12674e+239,1.0311e-244,-3.87473e+276,1.47181e+187,4.94066e-324,6.89399e-240,1.47181e+187,0
1,0,1,,25,1,10,0.03,10,1,1,52,0,0,0,0,1
1,1,330137064,,2005407902,239533024,3.00385e-307,3.00385e-307,7.74682e-304,-1.12674e+239,1.0311e-244,-3.87473e+276,1.47181e+187,4.94066e-324,6.89399e-240,1.47181e+187,0
1,1,1,,25,1,10,0.03,10,1,1,52,0,0,0,0,1
1,2,330137064,,2005407902,239533024,3.00385e-307,3.00385e-307,7.74682e-304,-1.12674e+239,1.0311e-244,-3.87473e+276,1.47181e+187,4.94066e-324,6.89399e-240,1.47181e+187,0
1,2,1,,25,1,10,0.03,10,1,1,52,0,0,0,0,1
2,0,330137064,,2005407902,239533024,3.00385e-307,3.00385e-307,7.74682e-304,-1.12674e+239,1.0311e-244,-3.87473e+276,1.47181e+187,4.94066e-324,6.89399e-240,1.47181e+187,0
2,0,1,,25,1,10,0.03,10,1,1,52,0,0,0,0,1
2,1,330137064,,2005407902,239533024,3.00385e-307,3.00385e-307,7.74682e-304,-1.12674e+239,1.0311e-244,-3.87473e+276,1.47181e+187,4.94066e-324,6.89399e-240,1.47181e+187,0
2,1,1,,25,1,10,0.03,10,1,1,52,0,0,0,0,1
2,2,330137064,,2005407902,239533024,3.00385e-307,3.00385e-307,7.74682e-304,-1.12674e+239,1.0311e-244,-3.87473e+276,1.47181e+187,4.94066e-324,6.89399e-240,1.47181e+187,0
2,2,1,,25,1,10,0.03,10,1,1,52,0,0,0,0,1
3,0,330137064,,2005407902,239533024,3.00385e-307,3.00385e-307,7.74682e-304,-1.12674e+239,1.0311e-244,-3.87473e+276,1.47181e+187,4.94066e-324,6.89399e-240,1.47181e+187,0
3,0,1,,25,1,10,0.03,10,1,1,52,0,0,0,0,1
3,1,330137064,,2005407902,239533024,3.00385e-307,3.00385e-307,7.74682e-304,-1.12674e+239,1.0311e-244,-3.87473e+276,1.47181e+187,4.94066e-324,6.89399e-240,1.47181e+187,0
3,1,1,,25,1,10,0.03,10,1,1,52,0,0,0,0,1
3,2,330137064,,2005407902,239533024,3.00385e-307,3.00385e-307,7.74682e-304,-1.12674e+239,1.0311e-244,-3.87473e+276,1.47181e+187,4.94066e-324,6.89399e-240,1.47181e+187,0
3,2,1,,25,1,10,0.03,10,1,1,52,0,0,0,0,1
4,0,330137064,,2005407902,239533024,3.00385e-307,3.00385e-307,7.74682e-304,-1.12674e+239,1.0311e-244,-3.87473e+276,1.47181e+187,4.94066e-324,6.89399e-240,1.47181e+187,0
4,0,1,,25,1,10,0.03,10,1,1,52,0,0,0,0,1
4,1,330137064,,2005407902,239533024,3.00385e-307,3.00385e-307,7.74682e-304,-1.12674e+239,1.0311e-244,-3.87473e+276,1.47181e+187,4.94066e-324,6.89399e-240,1.47181e+187,0
4,1,1,,25,1,10,0.03,10,1,1,52,0,0,0,0,1
4,2,330137064,,2005407902,239533024,3.00385e-307,3.00385e-307,7.74682e-304,-1.12674e+239,1.0311e-244,-3.87473e+276,1.47181e+187,4.94066e-324,6.89399e-240,1.47181e+187,0
4,2,1,,25,1,10,0.03,10,1,1,52,0,0,0,0,1
