temperature,thread_id,iteration,model_filename,no_of_robots,no_of_clusters,separation,alignment,cluster,explore,obstacle_avoidance,separation_distance,time_taken,multi_sampling,coverage,occlusion,score
0,0,318876328,,2005407902,236582960,3.00385e-307,3.00385e-307,7.74682e-304,-1.57588e+240,1.72829e-216,-3.89766e+276,1.4718e+187,4.94066e-324,9.73686e-241,1.4718e+187,0
0,0,1,,25,1,1,0.12,0.1,0.4,1,52,0,0,0,0,1
0,1,318876328,,2005407902,236582960,3.00385e-307,3.00385e-307,7.74682e-304,-1.57588e+240,1.72829e-216,-3.89766e+276,1.4718e+187,4.94066e-324,9.73686e-241,1.4718e+187,0
0,1,1,,25,1,1,0.12,0.1,0.4,1,52,0,0,0,0,1
0,2,318876328,,2005407902,236582960,3.00385e-307,3.00385e-307,7.74682e-304,-1.57588e+240,1.72829e-216,-3.89766e+276,1.4718e+187,4.94066e-324,9.73686e-241,1.4718e+187,0
0,2,1,,25,1,1,0.12,0.1,0.4,1,52,0,0,0,0,1
1,0,318876328,,2005407902,236582960,3.00385e-307,3.00385e-307,7.74682e-304,-1.57588e+240,1.72829e-216,-3.89766e+276,1.4718e+187,4.94066e-324,9.73686e-241,1.4718e+187,0
1,0,1,,25,1,1,0.12,0.1,0.4,1,52,0,0,0,0,1
1,1,318876328,,2005407902,236582960,3.00385e-307,3.00385e-307,7.74682e-304,-1.57588e+240,1.72829e-216,-3.89766e+276,1.4718e+187,4.94066e-324,9.73686e-241,1.4718e+187,0
1,1,1,,25,1,1,0.12,0.1,0.4,1,52,0,0,0,0,1
1,2,318876328,,2005407902,236582960,3.00385e-307,3.00385e-307,7.74682e-304,-1.57588e+240,1.72829e-216,-3.89766e+276,1.4718e+187,4.94066e-324,9.73686e-241,1.4718e+187,0
1,2,1,,25,1,1,0.12,0.1,0.4,1,52,0,0,0,0,1
2,0,318876328,,2005407902,236582960,3.00385e-307,3.00385e-307,7.74682e-304,-1.57588e+240,1.72829e-216,-3.89766e+276,1.4718e+187,4.94066e-324,9.73686e-241,1.4718e+187,0
2,0,1,,25,1,1,0.12,0.1,0.4,1,52,0,0,0,0,1
2,1,318876328,,2005407902,236582960,3.00385e-307,3.00385e-307,7.74682e-304,-1.57588e+240,1.72829e-216,-3.89766e+276,1.4718e+187,4.94066e-324,9.73686e-241,1.4718e+187,0
2,1,1,,25,1,1,0.12,0.1,0.4,1,52,0,0,0,0,1
2,2,318876328,,2005407902,236582960,3.00385e-307,3.00385e-307,7.74682e-304,-1.57588e+240,1.72829e-216,-3.89766e+276,1.4718e+187,4.94066e-324,9.73686e-241,1.4718e+187,0
2,2,1,,25,1,1,0.12,0.1,0.4,1,52,0,0,0,0,1
3,0,318876328,,2005407902,236582960,3.00385e-307,3.00385e-307,7.74682e-304,-1.57588e+240,1.72829e-216,-3.89766e+276,1.4718e+187,4.94066e-324,9.73686e-241,1.4718e+187,0
3,0,1,,25,1,1,0.12,0.1,0.4,1,52,0,0,0,0,1
3,1,318876328,,2005407902,236582960,3.00385e-307,3.00385e-307,7.74682e-304,-1.57588e+240,1.72829e-216,-3.89766e+276,1.4718e+187,4.94066e-324,9.73686e-241,1.4718e+187,0
3,1,1,,25,1,1,0.12,0.1,0.4,1,52,0,0,0,0,1
3,2,318876328,,2005407902,236582960,3.00385e-307,3.00385e-307,7.74682e-304,-1.57588e+240,1.72829e-216,-3.89766e+276,1.4718e+187,4.94066e-324,9.73686e-241,1.4718e+187,0
3,2,1,,25,1,1,0.12,0.1,0.4,1,52,0,0,0,0,1
4,0,318876328,,2005407902,236582960,3.00385e-307,3.00385e-307,7.74682e-304,-1.57588e+240,1.72829e-216,-3.89766e+276,1.4718e+187,4.94066e-324,9.73686e-241,1.4718e+187,0
4,0,1,,25,1,1,0.12,0.1,0.4,1,52,0,0,0,0,1
4,1,318876328,,2005407902,236582960,3.00385e-307,3.00385e-307,7.74682e-304,-1.57588e+240,1.72829e-216,-3.89766e+276,1.4718e+187,4.94066e-324,9.73686e-241,1.4718e+187,0
4,1,1,,25,1,1,0.12,0.1,0.4,1,52,0,0,0,0,1
4,2,318876328,,2005407902,236582960,3.00385e-307,3.00385e-307,7.74682e-304,-1.57588e+240,1.72829e-216,-3.89766e+276,1.4718e+187,4.94066e-324,9.73686e-241,1.4718e+187,0
4,2,1,,25,1,1,0.12,0.1,0.4,1,52,0,0,0,0,1
