temperature,thread_id,iteration,model_filename,no_of_robots,no_of_clusters,separation,alignment,cluster,explore,obstacle_avoidance,separation_distance,time_taken,multi_sampling,coverage,occlusion,score
0,0,222677792,,2005407902,309132144,3.00385e-307,3.00385e-307,7.74682e-304,-3.85541e+220,9.81066e-245,-4.22361e+276,1.47209e+187,4.94066e-324,6.41439e-220,1.47209e+187,0
0,0,1,,25,1,1,0,0,0.4,1,52,0,0,0,0,1
0,1,222677792,,2005407902,309132144,3.00385e-307,3.00385e-307,7.74682e-304,-3.85541e+220,9.81066e-245,-4.22361e+276,1.47209e+187,4.94066e-324,6.41439e-220,1.47209e+187,0
0,1,1,,25,1,1,0,0,0.4,1,52,0,0,0,0,1
0,2,222677792,,2005407902,309132144,3.00385e-307,3.00385e-307,7.74682e-304,-3.85541e+220,9.81066e-245,-4.22361e+276,1.47209e+187,4.94066e-324,6.41439e-220,1.47209e+187,0
0,2,1,,25,1,1,0,0,0.4,1,52,0,0,0,0,1
1,0,222677792,,2005407902,309132144,3.00385e-307,3.00385e-307,7.74682e-304,-3.85541e+220,9.81066e-245,-4.22361e+276,1.47209e+187,4.94066e-324,6.41439e-220,1.47209e+187,0
1,0,1,,25,1,1,0,0,0.4,1,52,0,0,0,0,1
1,1,222677792,,2005407902,309132144,3.00385e-307,3.00385e-307,7.74682e-304,-3.85541e+220,9.81066e-245,-4.22361e+276,1.47209e+187,4.94066e-324,6.41439e-220,1.47209e+187,0
1,1,1,,25,1,1,0,0,0.4,1,52,0,0,0,0,1
1,2,222677792,,2005407902,309132144,3.00385e-307,3.00385e-307,7.74682e-304,-3.85541e+220,9.81066e-245,-4.22361e+276,1.47209e+187,4.94066e-324,6.41439e-220,1.47209e+187,0
1,2,1,,25,1,1,0,0,0.4,1,52,0,0,0,0,1
2,0,222677792,,2005407902,309132144,3.00385e-307,3.00385e-307,7.74682e-304,-3.85541e+220,9.81066e-245,-4.22361e+276,1.47209e+187,4.94066e-324,6.41439e-220,1.47209e+187,0
2,0,1,,25,1,1,0,0,0.4,1,52,0,0,0,0,1
2,1,222677792,,2005407902,309132144,3.00385e-307,3.00385e-307,7.74682e-304,-3.85541e+220,9.81066e-245,-4.22361e+276,1.47209e+187,4.94066e-324,6.41439e-220,1.47209e+187,0
2,1,1,,25,1,1,0,0,0.4,1,52,0,0,0,0,1
2,2,222677792,,2005407902,309132144,3.00385e-307,3.00385e-307,7.74682e-304,-3.85541e+220,9.81066e-245,-4.22361e+276,1.47209e+187,4.94066e-324,6.41439e-220,1.47209e+187,0
2,2,1,,25,1,1,0,0,0.4,1,52,0,0,0,0,1
3,0,222677792,,2005407902,309132144,3.00385e-307,3.00385e-307,7.74682e-304,-3.85541e+220,9.81066e-245,-4.22361e+276,1.47209e+187,4.94066e-324,6.41439e-220,1.47209e+187,0
3,0,1,,25,1,1,0,0,0.4,1,52,0,0,0,0,1
3,1,222677792,,2005407902,309132144,3.00385e-307,3.00385e-307,7.74682e-304,-3.85541e+220,9.81066e-245,-4.22361e+276,1.47209e+187,4.94066e-324,6.41439e-220,1.47209e+187,0
3,1,1,,25,1,1,0,0,0.4,1,52,0,0,0,0,1
3,2,222677792,,2005407902,309132144,3.00385e-307,3.00385e-307,7.74682e-304,-3.85541e+220,9.81066e-245,-4.22361e+276,1.47209e+187,4.94066e-324,6.41439e-220,1.47209e+187,0
3,2,1,,25,1,1,0,0,0.4,1,52,0,0,0,0,1
4,0,222677792,,2005407902,309132144,3.00385e-307,3.00385e-307,7.74682e-304,-3.85541e+220,9.81066e-245,-4.22361e+276,1.47209e+187,4.94066e-324,6.41439e-220,1.47209e+187,0
4,0,1,,25,1,1,0,0,0.4,1,52,0,0,0,0,1
4,1,222677792,,2005407902,309132144,3.00385e-307,3.00385e-307,7.74682e-304,-3.85541e+220,9.81066e-245,-4.22361e+276,1.47209e+187,4.94066e-324,6.41439e-220,1.47209e+187,0
4,1,1,,25,1,1,0,0,0.4,1,52,0,0,0,0,1
4,2,222677792,,2005407902,309132144,3.00385e-307,3.00385e-307,7.74682e-304,-3.85541e+220,9.81066e-245,-4.22361e+276,1.47209e+187,4.94066e-324,6.41439e-220,1.47209e+187,0
4,2,1,,25,1,1,0,0,0.4,1,52,0,0,0,0,1
